Preço_kg,precipitação_mm,temp_max,temp_orv,umidade_ar,data_med
2.25,0.0,28.5,2.5,76.0,2022-07-15
2.25,0.0,26.9,5.4,71.0,2022-07-22
1.95,0.0,26.9,5.4,71.0,2022-07-28
1.92,0.0,29.9,5.6,69.0,2022-08-05
1.5,10.4,27.3,4.2,93.0,2022-08-12
1.5,0.0,29.6,4.8,82.0,2022-08-19
1.17,0.0,30.7,1.4,74.0,2022-08-25
1.8,0.0,30.6,2.9,74.0,2022-09-01
1.8,0.0,33.3,3.7,63.0,2022-09-09
1.8,8.2,32.2,9.2,87.0,2022-09-15
1.78,57.2,30.4,0.4,93.0,2022-09-23
1.78,7.2,27.3,14.3,86.0,2022-09-30
1.68,72.80000000000001,30.7,9.5,93.0,2022-10-06
1.73,1.2000000000000002,31.6,4.1,93.0,2022-10-14
1.53,8.0,30.5,7.7,83.0,2022-10-21
1.1,8.2,30.4,11.6,89.0,2022-10-27
1.5,8.2,30.4,11.6,89.0,2022-10-27
1.5,0.4,27.6,10.7,74.0,2022-11-04
1.32,5.4,29.1,12.8,91.0,2022-11-10
1.35,25.400000000000002,30.2,10.8,93.0,2022-11-18
1.3,34.6,29.6,11.2,93.0,2022-11-25
1.28,117.20000000000003,27.5,14.0,94.0,2022-12-01
1.28,117.20000000000003,27.5,14.0,94.0,2022-12-07
1.28,63.000000000000014,28.8,12.5,93.0,2022-12-15
1.75,84.2,28.5,7.5,93.0,2022-12-22
2.15,40.800000000000004,26.1,16.2,93.0,2022-12-30
2.68,150.6,26.1,16.1,94.0,2023-01-06
3.1,155.79999999999998,28.7,16.1,94.0,2023-01-12
3.31,10.999999999999998,29.2,7.5,94.0,2023-08-18
3.33,6.6000000000000005,32.9,3.0,92.0,2023-08-25
3.38,0.0,31.3,6.9,74.0,2023-09-08
3.31,0.2,33.4,5.7,85.0,2023-09-15
3.5,24.800000000000004,36.2,10.8,88.0,2023-09-22
3.06,22.8,31.2,15.8,89.0,2023-09-29
2.88,111.60000000000002,31.8,15.8,95.0,2023-10-06
3.0,85.40000000000002,32.8,14.3,94.0,2023-10-13
3.0,17.6,31.6,12.4,89.0,2023-10-20
3.0,25.599999999999994,32.8,10.7,93.0,2023-10-27
2.81,30.999999999999996,31.5,4.0,94.0,2023-11-03
2.75,0.0,36.5,5.9,66.0,2023-11-10
2.81,21.599999999999998,35.4,9.2,91.0,2023-11-17
2.83,5.2,31.6,15.1,92.0,2023-11-24
2.81,7.4,31.6,14.3,94.0,2023-12-01
2.81,7.4,31.6,14.3,94.0,2023-12-07
3.0,57.400000000000006,31.8,14.4,94.0,2023-12-14
2.62,11.399999999999999,32.1,8.7,93.0,2023-12-21
