Data;Hora UTC;PRECIPITAÇÃO TOTAL. HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO. HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR. HORARIA (%);VENTO. DIREÇÃO HORARIA (gr) (° (gr));VENTO. RAJADA MAXIMA (m/s);VENTO. VELOCIDADE HORARIA (m/s);
2023/01/01;0000 UTC;.2;903.8;903.8;903;;19.4;18.2;19.5;19.3;18.3;18.1;93;93;93;192;1.7;.6;
2023/01/01;0100 UTC;.2;903.9;903.9;903.8;;19.4;18.2;19.6;19.3;18.4;18.1;93;93;93;281;1.5;0;
2023/01/01;0200 UTC;0;903.6;904;903.6;;19.1;18;19.4;19.1;18.2;18;93;93;93;218;2.5;1.2;
2023/01/01;0300 UTC;.2;903.2;903.6;903.1;;19.3;18.2;19.4;19;18.3;17.9;94;93;93;342;2.3;0;
2023/01/01;0400 UTC;0;902.6;903.2;902.6;;18.9;17.8;19.3;18.9;18.2;17.8;93;93;93;41;2.5;.1;
2023/01/01;0500 UTC;0;902.1;902.6;902.1;;19;17.9;19.1;18.9;17.9;17.8;93;93;93;72;2.3;.7;
2023/01/01;0600 UTC;0;901.5;902.1;901.5;;18.8;17.7;19;18.8;17.8;17.6;93;93;93;84;2.9;1.5;
2023/01/01;0700 UTC;0;901.4;901.6;901.4;;18.9;17.6;18.9;18.8;17.7;17.6;93;92;92;98;4.6;2.7;
2023/01/01;0800 UTC;0;901.3;901.5;901.2;;18.5;17.2;18.9;18.5;17.6;17.2;92;92;92;103;6.4;3.4;
2023/01/01;0900 UTC;0;901.9;901.9;901.3;21.6;18.8;17.5;18.8;18.5;17.5;17.2;92;92;92;104;8.2;4.2;
2023/01/01;1000 UTC;0;902.9;902.9;901.9;250.3;19.3;17.6;19.3;18.8;17.7;17.5;92;90;90;89;8.2;3.2;
2023/01/01;1100 UTC;0;903.4;903.4;902.9;619.9;20.3;17.9;20.3;19.3;18;17.6;90;86;86;83;5.6;2.5;
2023/01/01;1200 UTC;0;903.7;903.7;903.4;1107.9;21.6;18;21.6;20.3;18.2;17.8;86;79;80;42;4.2;1.9;
2023/01/01;1300 UTC;0;903.7;903.8;903.7;1926.7;22.9;18.1;23.2;21.6;18.4;17.4;80;71;74;27;4.3;1.7;
2023/01/01;1400 UTC;0;903.5;903.8;903.5;1482.5;23.8;18.4;23.9;22.4;18.7;17.6;76;70;72;345;4.3;2;
2023/01/01;1500 UTC;0;902.7;903.5;902.7;3801.3;25.6;18.2;25.8;23.7;19.1;17.4;72;61;64;342;5.5;2.8;
2023/01/01;1600 UTC;0;902;902.7;902;2868.5;25.8;18.2;26.8;25;18.6;16.9;65;57;63;317;5.9;3.3;
2023/01/01;1700 UTC;1;901.5;902;901.5;1329.3;21.9;18.9;26.5;21.8;19.1;16.7;84;59;83;17;9.4;2.7;
2023/01/01;1800 UTC;0;900.3;901.5;900.3;2701.8;25.7;18.1;25.9;21.9;21.1;18.1;83;63;63;347;6.4;3.5;
2023/01/01;1900 UTC;0;899.7;900.4;899.7;2080.9;25.6;17.8;26.8;25.2;19.2;17.6;68;60;62;342;6.4;2.3;
2023/01/01;2000 UTC;0;899.5;900;899.3;483.8;25.1;18.3;25.6;25;18.3;17.4;67;62;66;330;5.8;1.2;
2023/01/01;2100 UTC;0;899.8;899.9;899.5;89.4;24.5;18.5;25.1;24.5;18.5;17.9;69;65;69;67;3.3;1.6;
2023/01/01;2200 UTC;0;900.6;900.6;899.7;23.8;22.1;17.5;24.5;22.1;18.8;17.5;75;69;75;103;7.4;4.5;
2023/01/01;2300 UTC;10.8;901.7;901.8;900.6;;17.4;16.1;22.1;17.4;18;16.1;92;75;92;270;7.8;2.1;
2023/01/02;0000 UTC;1.2;901.4;901.7;901.1;;19.3;17.7;19.3;17.3;17.8;16;93;91;91;60;3.5;1.9;
2023/01/02;0100 UTC;0;902.4;902.5;901.4;;19.3;17.3;19.4;19.1;17.7;17.3;91;88;88;100;5.6;2.9;
2023/01/02;0200 UTC;0;901.9;902.6;901.8;;18.9;17.1;19.3;18.9;17.3;16.8;89;86;89;57;5.6;.7;
2023/01/02;0300 UTC;0;902.2;902.3;901.8;;19.5;17.7;19.5;18.9;17.8;17.1;91;89;89;108;5.4;3.3;
2023/01/02;0400 UTC;.2;901.6;902.2;901.6;;19.7;17.8;19.7;19.3;17.8;17.5;90;89;89;96;5.3;2.3;
2023/01/02;0500 UTC;.6;901.3;901.7;901.3;;19.6;17.9;19.8;19.6;17.9;17.7;90;88;90;97;4.1;2.3;
2023/01/02;0600 UTC;0;900.8;901.3;900.8;;19.3;17.8;19.6;19.3;18;17.8;91;90;91;103;4.8;2.1;
2023/01/02;0700 UTC;0;900.8;900.9;900.3;;19.1;17.6;19.3;19.1;17.8;17.6;91;91;91;108;5.4;3.1;
2023/01/02;0800 UTC;0;900.9;901;900.7;;19.1;17.5;19.3;19.1;17.7;17.5;91;90;90;89;5.7;2.9;
2023/01/02;0900 UTC;.4;901.6;901.6;900.9;1.5;19.1;17.2;19.2;19.1;17.5;17.2;90;89;89;126;6.8;2.4;
2023/01/02;1000 UTC;5.4;902.1;902.1;901.6;134.4;18.9;17.4;19.1;18.7;17.5;17.2;92;89;91;98;6.9;2.5;
2023/01/02;1100 UTC;1.4;902.3;902.4;902.1;366.1;19.6;18;19.6;18.9;18.1;17.5;91;91;91;78;5.6;2.8;
2023/01/02;1200 UTC;0;902.6;902.6;902.2;1821.2;21.9;18;22.1;19.6;18.4;17.7;91;77;79;92;5.2;3;
