Preço_kg,precipitação_mm,temp_max,data_med
0.86,0.0,28.5,2022-07-15
0.86,0.0,26.9,2022-07-22
0.79,0.0,26.9,2022-07-28
0.72,0.0,29.9,2022-08-05
0.72,10.4,27.3,2022-08-12
0.7,0.0,29.6,2022-08-19
0.69,0.0,30.7,2022-08-25
0.83,0.0,30.6,2022-09-01
0.83,0.0,33.3,2022-09-09
0.83,8.2,32.2,2022-09-15
0.84,57.2,30.4,2022-09-23
0.84,7.2,27.3,2022-09-30
0.81,72.80000000000001,30.7,2022-10-06
0.79,1.2000000000000002,31.6,2022-10-14
0.69,8.0,30.5,2022-10-21
0.69,8.2,30.4,2022-10-27
0.62,0.4,27.6,2022-11-04
0.52,5.4,29.1,2022-11-10
0.49,25.400000000000002,30.2,2022-11-18
0.45,34.6,29.6,2022-11-25
0.43,117.20000000000003,27.5,2022-12-01
0.4,117.20000000000003,27.5,2022-12-07
0.4,63.000000000000014,28.8,2022-12-15
0.69,84.2,28.5,2022-12-22
1.21,40.800000000000004,26.1,2022-12-30
1.38,150.6,26.1,2023-01-06
1.72,155.79999999999998,28.7,2023-01-12
1.72,10.999999999999998,29.2,2023-08-18
1.72,6.6000000000000005,32.9,2023-08-25
1.72,0.0,31.3,2023-09-08
1.72,0.2,33.4,2023-09-15
1.72,24.800000000000004,36.2,2023-09-22
1.72,22.8,31.2,2023-09-29
1.72,111.60000000000002,31.8,2023-10-06
1.55,85.40000000000002,32.8,2023-10-13
1.55,17.6,31.6,2023-10-20
1.55,25.599999999999994,32.8,2023-10-27
1.41,30.999999999999996,31.5,2023-11-03
1.41,0.0,36.5,2023-11-10
1.41,21.599999999999998,35.4,2023-11-17
1.42,5.2,31.6,2023-11-24
1.41,7.4,31.6,2023-12-01
1.41,7.4,31.6,2023-12-07
1.48,57.400000000000006,31.8,2023-12-14
1.48,11.399999999999999,32.1,2023-12-21
