Preço_kg,precipitação_mm,temp_max,data_med,Preço_kg_orig,temp_max_orig,precipitação_mm_orig
2.93,0.6187943262411348,0.6493506493506495,2023-01-20,2.93,29.7,69.80000000000001
2.93,1.0,0.5194805194805195,2023-01-26,2.93,28.7,112.8
2.93,0.5939716312056738,0.6623376623376626,2023-02-03,2.93,29.8,67.0
2.97,0.7358156028368794,0.5454545454545454,2023-02-10,2.97,28.9,83.0
4.17,0.28546099290780147,0.6623376623376626,2023-02-17,4.17,29.8,32.2
5.0,0.5691489361702128,0.8961038961038965,2023-02-24,5.0,31.6,64.2
5.0,0.4343971631205675,0.6623376623376626,2023-03-03,5.0,29.8,49.00000000000001
5.0,0.5673758865248228,0.44155844155844187,2023-03-10,5.0,28.1,64.00000000000001
5.0,0.037234042553191495,0.5714285714285717,2023-03-17,5.0,29.1,4.2
4.0,0.16666666666666669,0.8441558441558442,2023-03-24,4.0,31.2,18.8
3.83,0.15957446808510636,0.6753246753246753,2023-03-31,3.83,29.9,17.999999999999996
4.0,0.5673758865248227,0.7272727272727275,2023-04-06,4.0,30.3,64.0
5.0,0.38652482269503546,0.2987012987012988,2023-04-13,5.0,27.0,43.6
5.12,0.17375886524822698,0.5324675324675328,2023-04-20,5.12,28.8,19.6
4.17,0.24113475177304963,0.2987012987012988,2023-04-27,4.17,27.0,27.2
4.0,0.001773049645390071,0.36363636363636376,2023-05-05,4.0,27.5,0.2
4.0,0.0,0.311688311688312,2023-05-12,4.0,27.1,0.0
4.0,0.0,0.22077922077922071,2023-05-18,4.0,26.4,0.0
3.5,0.0,0.22077922077922071,2023-05-26,3.5,26.4,0.0
3.5,0.0,0.0,2023-06-02,3.5,24.7,0.0
3.44,0.0,0.0,2023-06-07,3.44,24.7,0.0
4.0,0.0,0.03896103896103906,2023-06-16,4.0,25.0,0.0
4.0,0.0,0.05194805194805223,2023-06-23,4.0,25.1,0.0
4.44,0.0,0.03896103896103906,2023-06-30,4.44,25.0,0.0
4.15,0.0,0.07792207792207811,2023-07-07,4.15,25.3,0.0
4.44,0.037234042553191495,0.49350649350649367,2023-07-14,4.44,28.5,4.2
4.44,0.01595744680851064,0.38961038961038963,2023-07-21,4.44,27.7,1.8
3.94,0.0,0.36363636363636376,2023-07-27,3.94,27.5,0.0
3.15,0.0,0.7922077922077925,2023-08-11,3.15,30.8,0.0
4.0,0.9166666666666669,0.9610389610389614,2023-12-28,4.0,32.1,103.40000000000002
6.38,0.5780141843971635,0.8311688311688316,2024-01-05,6.38,31.1,65.20000000000003
5.56,0.5886524822695036,0.5324675324675328,2024-02-01,5.56,28.8,66.4
5.92,0.04787234042553193,0.7922077922077925,2024-02-08,5.92,30.8,5.400000000000001
6.0,0.2322695035460993,0.5584415584415586,2024-02-16,6.0,29.0,26.2
5.92,0.28368794326241137,0.9480519480519483,2024-02-22,5.92,32.0,32.0
5.88,0.0,1.0,2024-02-29,5.88,32.4,0.0
