Preço_kg,precipitação_mm,temp_max,data_med
1.72,69.80000000000001,29.7,2023-01-20
1.55,112.80000000000001,28.7,2023-01-26
1.52,67.0,29.8,2023-02-03
1.72,83.0,28.9,2023-02-10
2.41,32.199999999999996,29.8,2023-02-17
2.76,64.2,31.6,2023-02-24
2.76,49.00000000000001,29.8,2023-03-03
3.1,64.00000000000001,28.1,2023-03-10
4.0,4.2,29.1,2023-03-17
2.76,4.2,29.1,2023-03-17
2.07,18.8,31.2,2023-03-24
3.0,18.8,31.2,2023-03-24
1.9,17.999999999999996,29.9,2023-03-31
2.07,64.0,30.3,2023-04-06
2.93,43.599999999999994,27.0,2023-04-13
2.93,19.599999999999998,28.8,2023-04-20
2.45,27.2,27.0,2023-04-27
2.07,0.2,27.5,2023-05-05
2.07,0.0,27.1,2023-05-12
1.9,0.0,26.4,2023-05-18
1.72,0.0,26.4,2023-05-26
1.72,0.0,24.7,2023-06-02
1.72,0.0,24.7,2023-06-07
2.07,0.0,25.0,2023-06-16
2.41,0.0,25.1,2023-06-23
2.41,0.0,25.0,2023-06-30
2.41,0.0,25.3,2023-07-07
2.41,4.2,28.5,2023-07-14
2.24,1.8,27.7,2023-07-21
2.03,0.0,27.5,2023-07-27
1.72,0.0,29.3,2023-08-04
1.72,0.0,30.8,2023-08-11
2.16,103.40000000000002,32.1,2023-12-28
3.88,65.20000000000003,31.1,2024-01-05
4.31,42.6,31.0,2024-01-10
4.31,35.8,32.2,2024-01-18
4.24,29.599999999999998,29.8,2024-01-25
3.45,66.4,28.8,2024-02-01
3.02,5.400000000000001,30.8,2024-02-08
3.1,26.2,29.0,2024-02-16
3.1,31.999999999999996,32.0,2024-02-22
2.79,0.0,32.4,2024-02-29
